dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,5,zhang,499.12,0.612802498,0.511565464,0.54790766,5$7$16$22$29
indian_pines,5,lw,1377.85,0.692818111,0.646502107,0.646316208,34$36$78$147$148
indian_pines,5,lw_03,1610.68,0.730288837,0.750318685,0.690661945,23$27$34$39$74
indian_pines,5,lw_relu,1591.71,0.734582358,0.694437222,0.694835771,34$36$78$80$148
indian_pines,10,zhang,399.04,0.74824356,0.753737764,0.712016036,5$7$16$23$29$38$167$169$183$187
indian_pines,10,lw,1351.77,0.736533958,0.69519072,0.699159086,34$35$36$74$78$79$80$147$148$149
indian_pines,10,lw_03,0,0.801717408,0.808023299,0.773579706,23$24$27$28$34$39$56$74$148$181
indian_pines,10,lw_relu,1571.59,0.784543326,0.816085642,0.753818816,34$36$41$74$78$80$147$148$149$181
indian_pines,15,zhang,0,0.823185012,0.860742097,0.798052293,5$7$10$16$19$23$29$38$54$129$159$167$169$183$187
indian_pines,15,lw,0,0.81264637,0.816661474,0.786470603,6$19$33$34$35$36$74$78$79$80$101$147$148$149$181
indian_pines,15,lw_03,0,0.826307572,0.830838165,0.801923209,23$24$27$28$34$39$40$56$74$78$124$148$178$181$184
indian_pines,15,lw_relu,686.52,0.81225605,0.800791543,0.785938255,18$19$34$35$36$41$74$78$80$88$101$147$148$149$181
indian_pines,20,zhang,0,0.806010929,0.789436547,0.778451635,5$7$10$13$16$19$23$29$38$54$129$155$159$167$169$178$183$186$187$197
indian_pines,20,lw,0,0.828259173,0.849981852,0.804509591,5$6$7$18$19$33$34$35$36$41$74$78$79$80$101$147$148$149$181$184
indian_pines,20,lw_03,0,0.825136612,0.837496994,0.800468469,23$24$25$27$28$34$39$40$56$74$78$88$124$139$147$148$149$178$181$184
indian_pines,20,lw_relu,376.38,0.832552693,0.845074821,0.809176093,6$18$19$33$34$35$36$40$41$72$74$78$79$80$88$101$147$148$149$181
indian_pines,25,zhang,0,0.802107728,0.795699158,0.774149614,0$5$7$10$13$16$19$23$29$38$54$69$129$155$159$167$169$173$176$178$183$186$187$189$197
indian_pines,25,lw,0,0.845823575,0.856215053,0.824393997,5$6$7$18$19$20$33$34$35$36$40$41$72$74$78$79$80$88$100$101$147$148$149$181$184
indian_pines,25,lw_03,0,0.825136612,0.855295705,0.800628282,23$24$25$27$28$34$39$40$56$74$78$79$88$124$132$136$138$139$147$148$149$178$181$182$184
indian_pines,25,lw_relu,288.73,0.845042935,0.856258448,0.823485005,5$6$7$18$19$20$33$34$35$36$38$40$41$72$74$78$79$80$88$100$101$147$148$149$181
indian_pines,30,zhang,0,0.81342701,0.797517841,0.78721226,0$5$7$10$13$16$19$23$29$38$44$50$54$69$110$129$136$155$159$165$167$169$173$176$178$183$186$187$189$197
indian_pines,30,lw,0,0.857533177,0.859778197,0.837644249,5$6$7$8$18$19$20$27$30$33$34$35$36$40$41$72$74$78$79$80$88$100$101$147$148$149$177$178$181$184
indian_pines,30,lw_03,0,0.834113973,0.828188258,0.810831551,23$24$25$27$28$30$34$39$40$45$56$60$74$78$79$88$124$132$136$138$139$147$148$149$178$181$182$184$185$192
indian_pines,30,lw_relu,249.36,0.852459016,0.864991911,0.831943558,5$6$7$8$18$19$20$30$33$34$35$36$38$40$41$72$74$78$79$80$88$100$101$147$148$149$177$178$181$184
